Designator,Mid X,Mid Y,Rotation,Layer
J1,59.1,-128.0,90.0,bottom
U1,70.2,-124.7,0.0,top
U2,70.25,-143.65,0.0,top
U3,70.2,-162.6,0.0,top
U4,92.25,-124.7,0.0,top
U5,92.25,-143.65,0.0,top
U6,92.2,-162.6,0.0,top
U7,114.1,-124.65,0.0,top
U8,114.1,-143.6,0.0,top
U9,114.05,-162.55,0.0,top
