Designator,Footprint,Quantity,Value,LCSC Part #
U1,WS2812B-Xinlight-5050RGBC,1,,C2843785
"U2, U3, U4, U5, U6, U7, U8, U9",WS2812B-Xinlight-5050RGBC,8,~,C2843785
